Query,Trial,Scalar,SSE Pipelined,SSE Unpipelined - Filter,SSE Unpipelined - Aggregate
Q1.1,0,0.177024,0.0692916,0.0516601,0.0347987
Q1.1,1,0.177112,0.069407,0.0516041,0.0348318
Q1.1,2,0.177033,0.0693135,0.0516641,0.0348946
Q1.1,3,0.177194,0.0693591,0.0516589,0.0349473
Q1.1,4,0.176952,0.0692766,0.0517197,0.034916
Q1.1,5,0.177142,0.0692837,0.0516581,0.0347704
Q1.1,6,0.176408,0.0692972,0.0516762,0.0347376
Q1.1,7,0.176461,0.0693202,0.0516729,0.0348772
Q1.1,8,0.176771,0.0693876,0.051624,0.0347552
Q1.1,9,0.1768,0.0693156,0.05163,0.0348556
Q1.2,0,0.0655726,0.0724545,0.0753263,0.00454708
Q1.2,1,0.0656078,0.0723234,0.075302,0.00455974
Q1.2,2,0.0655124,0.0723735,0.0752772,0.00454601
Q1.2,3,0.0655227,0.0723454,0.0752809,0.00455365
Q1.2,4,0.0656108,0.0723281,0.07523,0.00455036
Q1.2,5,0.0654923,0.0722827,0.0753497,0.00452906
Q1.2,6,0.0655186,0.0723102,0.0753315,0.0045554
Q1.2,7,0.0654858,0.0723495,0.0753325,0.00454589
Q1.2,8,0.0656015,0.0724968,0.0752588,0.00454399
Q1.2,9,0.065499,0.0723581,0.0752704,0.00455497
Q1.3,0,0.0454983,0.0602679,0.0641193,0.00269936
Q1.3,1,0.0454216,0.0603236,0.0640558,0.0026987
Q1.3,2,0.0454138,0.0602818,0.0641008,0.00267764
Q1.3,3,0.0454071,0.0602954,0.0640639,0.00268626
Q1.3,4,0.0454247,0.0602415,0.0641332,0.00269755
Q1.3,5,0.04543,0.0602779,0.0641415,0.00270351
Q1.3,6,0.0454234,0.0602849,0.0640616,0.00268647
Q1.3,7,0.0454296,0.0603145,0.0640822,0.0026971
Q1.3,8,0.0454117,0.0603376,0.0640658,0.00271596
Q1.3,9,0.0454237,0.0602858,0.0640879,0.00271672
Q2.1,0,0.108241,0.0682385,0.0274515,0.0403505
Q2.1,1,0.107936,0.068267,0.0274637,0.0402251
Q2.1,2,0.107931,0.0681777,0.0275021,0.0402168
Q2.1,3,0.107842,0.0682102,0.0274609,0.0403754
Q2.1,4,0.107955,0.068164,0.0275148,0.0405318
Q2.1,5,0.108056,0.0682526,0.0275064,0.0401102
Q2.1,6,0.108243,0.0680869,0.0274821,0.0403753
Q2.1,7,0.107731,0.0679813,0.027459,0.040558
Q2.1,8,0.108115,0.0680579,0.0274988,0.0404749
Q2.1,9,0.10794,0.0681945,0.0275102,0.0405018
Q2.2,0,0.323983,0.0661441,0.0393291,0.0400894
Q2.2,1,0.321401,0.0662346,0.0392777,0.040198
Q2.2,2,0.321433,0.0661084,0.0393618,0.0402098
Q2.2,3,0.321237,0.0660833,0.0393376,0.0400523
Q2.2,4,0.32255,0.0661654,0.0393553,0.0401373
Q2.2,5,0.321566,0.0659752,0.0393645,0.0401674
Q2.2,6,0.321674,0.0660784,0.0393033,0.0401603
Q2.2,7,0.321447,0.0662125,0.039298,0.0402422
Q2.2,8,0.321386,0.0659761,0.0393992,0.0400769
Q2.2,9,0.321362,0.0661458,0.039314,0.0401612
Q2.3,0,0.0495603,0.0398867,0.039375,0.00688199
Q2.3,1,0.0497308,0.03997,0.0393075,0.0068187
Q2.3,2,0.0494575,0.0400731,0.0393009,0.00688051
Q2.3,3,0.0494941,0.0400663,0.0393606,0.00699139
Q2.3,4,0.0496623,0.0401161,0.0393342,0.00700009
Q2.3,5,0.0495259,0.0398994,0.0393037,0.00694164
Q2.3,6,0.0496588,0.0399786,0.0393358,0.0069186
Q2.3,7,0.0495843,0.0400125,0.0393773,0.00683549
Q2.3,8,0.049554,0.03995,0.0393387,0.00691338
Q2.3,9,0.0493327,0.040126,0.0393622,0.00680067
